Time,Temp,Humi,AIQ
2024-10-06 21:09,29,67,38
2024-10-06 21:09,34,70,38
2024-10-06 21:09,33,74,38
2024-10-06 21:09,32,64,50
2024-10-06 21:09,30,65,43
2024-10-06 21:09,34,67,50
2024-10-06 21:09,34,63,38
2024-10-06 21:09,34,64,39
2024-10-06 21:09,32,60,47
2024-10-06 21:09,35,70,39
2024-10-06 21:09,31,60,49
2024-10-06 21:09,32,69,45
2024-10-06 21:09,32,73,46
2024-10-06 21:09,30,70,48
2024-10-06 21:10,34,66,41
2024-10-06 21:10,32,71,38
2024-10-06 21:10,34,74,50
2024-10-06 21:10,34,73,35
2024-10-06 21:10,31,68,43
2024-10-06 21:10,34,75,50
2024-10-06 21:10,35,70,47
2024-10-06 21:10,34,75,46
2024-10-06 21:10,33,75,38
2024-10-06 21:10,33,67,44
